screen_id,screen_name,parent_id,auth_required,description
SCR-001,홈,,false,브랜드 로고·컬러 반영 메인 화면. 프레임으로 만들기 / AI로 만들기 두 CTA 버튼. FR-001
SCR-002,프레임으로 만들기,SCR-001,false,촬영 시작 전 3컷 또는 4컷 레이아웃 선택. FR-002
SCR-003,카메라 촬영,SCR-002,false,총 8장 연속 촬영. 자동(8초 타이머) 또는 수동(1분 내 미탭 시 자동). FR-003
SCR-004,사진 선택,SCR-003,false,촬영한 8장 중 선택한 컷 수(3 또는 4장)만큼 선택해 구성 확정. FR-004
SCR-005,프레임 선택,SCR-004,false,브랜드 등록 프레임 썸네일 목록. 1개 이상일 때 표시. FR-009
SCR-006,프레임 미리보기,SCR-005,false,4컷 + 선택 프레임 합성 미리보기. 확정 또는 재선택. FR-004
SCR-007,AI로 만들기,SCR-001,false,브랜드 AI 완성 컨셉 예시 3장 중 1개 선택. FR-005
SCR-008,AI 카메라 촬영,SCR-007,false,카메라로 사진 1장 촬영. 재촬영 가능. FR-005
SCR-009,AI 이미지 생성 중,SCR-008,false,선택 컨셉 + 촬영 사진을 이미지 API에 전달해 완성 이미지 생성. FR-005 NFR-002
SCR-010,AI 결과 확인,SCR-009,false,생성된 완성 이미지 미리보기. 확정 또는 재촬영. FR-010
SCR-013,이미지 완성·QR,SCR-006,false,최종 4컷 이미지 표시 + QR 코드. 24시간 유효 안내. FR-006 FR-007
SCR-014,QR 저장 페이지,,false,QR 스캔 후 열리는 페이지. 이미지 다운로드 버튼. SNS 공유. FR-008 FR-011
SCR-015,스티커·텍스트 편집,SCR-004,false,4컷 이미지에 스티커·텍스트 추가(Could Have). FR-013
SCR-022,관리자 로그인,,false,브랜드 담당자 이메일+비밀번호 로그인. FR-012
SCR-016,브랜드 관리자 홈,SCR-022,true,관리자 대시보드 진입점. 주요 지표 요약(오늘 세션·QR 저장율) + 4개 섹션 네비게이션. FR-012
SCR-017,프레임 관리,SCR-016,true,등록된 프레임 목록(썸네일+이름). 업로드·삭제·순서 조정. FR-015
SCR-023,프레임 업로드,SCR-017,true,PNG 파일 업로드. 프레임 이름 입력. 미리보기 확인 후 저장. FR-015
SCR-018,AI 스타일 관리,SCR-016,true,AI 방식 스타일 카드 목록. 등록·수정·삭제. FR-016
SCR-024,AI 스타일 등록·수정,SCR-018,true,키워드 텍스트 + 무드 대표 이미지 업로드. 미리보기 후 저장. FR-016
SCR-019,브랜드 설정,SCR-016,true,브랜드 로고·포인트 컬러·서비스 표시 이름 설정. 변경 즉시 반영. FR-017
SCR-020,통계 대시보드,SCR-016,true,일별 세션 수·QR 저장율·AI vs 프레임 비율 차트. 기간 필터. FR-014
SCR-021,에러 화면,,false,서버 오류·AI 생성 실패·QR 만료 등 에러 상태 화면.
